avgOxygenSaturation.timeFrame.timestamp,avgOxygenSaturation.oxygenSaturation.value,
2022-05-03 02:50:19,96.92,
2022-05-03 02:49:19,95.46,
2022-05-03 02:48:19,96.08,
2022-05-03 02:47:19,97.57,
2022-05-03 02:46:19,96.7,
2022-05-03 02:45:19,97.69,
2022-05-03 02:44:19,96.07,
2022-05-03 02:43:19,96.9,
2022-05-03 02:42:20,96.67,
2022-05-03 02:41:20,98.88,
2022-05-03 02:40:20,98.59,
2022-05-03 02:39:20,97.96,
2022-05-03 02:38:20,98.57,
2022-05-03 02:37:20,99.34,
2022-05-03 02:36:20,98.99,
2022-05-03 02:35:20,98.87,
2022-05-03 02:34:20,99.04,
2022-05-03 02:33:21,98.97,
2022-05-03 02:32:21,98.43,
2022-05-03 02:31:21,98.56,
2022-05-03 02:30:21,97.42,
2022-05-03 02:29:21,97.86,
2022-05-03 02:28:21,98.72,
2022-05-03 02:27:21,97.04,
2022-05-03 02:26:21,98.77,
2022-05-03 02:25:21,99.12,
2022-05-03 02:24:22,99.59,
2022-05-03 02:23:22,99.34,
2022-05-03 02:22:22,98.25,
2022-05-03 02:21:22,98.37,
2022-05-03 02:20:22,98.15,
2022-05-03 02:19:22,98.42,
2022-05-03 02:18:22,98.38,
2022-05-03 02:17:22,99.56,
2022-05-03 02:16:22,99.38,
2022-05-03 02:15:23,99.01,
2022-05-03 02:14:23,99.28,
2022-05-03 02:13:23,99.3,
2022-05-03 02:12:23,98.88,
2022-05-03 02:11:23,98.36,
2022-05-03 02:10:23,98.32,
2022-05-03 02:09:23,98.7,
2022-05-03 02:08:23,97.18,
2022-05-03 02:07:23,96.28,
2022-05-03 02:06:23,98.18,
2022-05-03 02:05:24,97.26,
2022-05-03 02:04:24,97.7,
2022-05-03 02:03:24,99.31,
2022-05-03 02:02:24,98.62,
2022-05-03 02:01:24,96.62,
2022-05-03 02:00:24,95.48,
2022-05-03 01:59:24,96.42,
2022-05-03 01:58:24,98.28,
2022-05-03 01:57:24,99.2,
2022-05-03 01:56:25,99.04,
2022-05-03 01:55:25,98.93,
2022-05-03 01:54:25,97.95,
2022-05-03 01:53:25,98.92,
2022-05-03 01:52:25,98.86,
2022-05-03 01:51:25,99.1,
2022-05-03 01:50:25,99.43,
2022-05-03 01:49:25,99.24,
2022-05-03 01:48:25,99.41,
2022-05-03 01:47:26,99.16,
2022-05-03 01:46:26,99.43,
2022-05-03 01:45:26,99.16,
2022-05-03 01:44:26,99.23,
2022-05-03 01:43:26,98.95,
2022-05-03 01:42:26,99.07,
2022-05-03 01:41:26,98.86,
2022-05-03 01:40:26,99.18,
2022-05-03 01:39:26,99.51,
2022-05-03 01:38:27,98.83,
2022-05-03 01:37:27,99.1,
2022-05-03 01:36:27,99.08,
2022-05-03 01:35:27,99.19,
2022-05-03 01:34:27,98.92,
2022-05-03 01:33:27,99.11,
2022-05-03 01:32:27,98.86,
2022-05-03 01:31:27,99.09,
2022-05-03 01:30:27,99.36,
2022-05-03 01:29:28,99.03,
2022-05-03 01:28:28,99.02,
2022-05-03 01:27:28,99.09,
2022-05-03 01:26:28,99.5,
2022-05-03 01:25:28,99.2,
2022-05-03 01:24:28,99.14,
2022-05-03 01:23:28,98.97,
2022-05-03 01:21:40,99.0,
2022-05-03 01:20:40,98.95,
2022-05-03 01:19:40,99.17,
2022-05-03 01:18:40,98.99,
2022-05-03 01:17:40,99.02,
2022-05-03 01:16:40,98.97,
2022-05-03 01:15:41,98.88,
2022-05-03 01:14:41,98.82,
2022-05-03 01:13:41,98.99,
2022-05-03 01:07:47,99.29,
2022-05-03 01:06:47,98.92,
2022-05-03 01:05:47,98.54,
2022-05-03 01:04:47,97.78,
2022-05-03 01:03:48,97.92,
2022-05-03 01:02:48,98.12,
2022-05-03 01:01:48,97.92,
2022-05-03 01:00:48,97.77,
2022-05-03 00:59:48,97.25,
2022-05-03 00:58:48,97.24,
2022-05-03 00:57:48,97.28,
2022-05-03 00:56:48,97.85,
2022-05-03 00:55:48,96.94,
2022-05-03 00:54:49,97.82,
2022-05-03 00:53:49,98.6,
2022-05-03 00:52:49,98.92,
2022-05-03 00:51:49,99.15,
2022-05-03 00:50:49,98.41,
2022-05-03 00:49:49,98.05,
2022-05-03 00:48:49,98.68,
2022-05-03 00:47:49,98.31,
2022-05-03 00:46:49,98.35,
2022-05-03 00:45:50,98.12,
